#1
double Demand(10584,4)  #
854	20347	18730	18719
855	19821	18619	18575
856	20487	18512	18508
857	21348	18884	18405
858	22171	19656	19256
859	22284	20211	20428
860	22256	19794	20766
861	21148	19188	19377
862	19944	18497	18582
863	19096	17477	17806
864	17678	16461	16457
865	17240	15563	15445
866	16496	15086	14665
867	16642	14937	14609
868	16477	14947	14788
869	16416	15014	14957
870	16908	15420	15081
871	18365	15999	15826
872	19212	16819	16578
873	20004	17499	17639
874	20766	18195	18179
875	20703	18332	18891
876	20518	18236	18469
877	20495	18041	18140
878	19969	17694	17846
879	19604	17420	17347
880	19728	17352	17146
881	20539	17772	17284
882	21777	18735	18192
883	21676	19486	19698
884	21663	19128	20237
885	21475	18603	18770
886	20780	17993	18078
887	19724	17252	17383
888	18229	16394	16511
889	17764	15685	15536
890	16746	15232	14976
891	16724	15031	14779
892	16967	14913	14830
893	16974	14964	14795
894	17320	15131	15015
895	17818	15551	15298
896	18579	16102	15971
897	18704	16658	16653
898	18883	17092	17214
899	19376	17361	17526
900	19200	17418	17630
901	19437	17419	17475
902	19543	17219	17420
903	19279	16886	17019
904	18857	16912	16553
905	19489	17406	16938
906	20656	18431	17900
907	21355	19434	19456
908	21020	19087	20437
909	20934	18630	18740
910	20561	18056	18173
911	19571	17259	17482
912	17781	16300	16462
913	17508	15491	15341
914	17471	15182	14682
915	17240	15052	14873
916	17310	15024	14922
917	17607	15207	14996
918	18190	16080	15390
919	20142	17576	16953
920	22064	19193	19072
921	22734	19646	20810
922	22667	19596	20099
923	22516	19644	19546
924	21956	19575	19692
925	22245	19266	19506
926	21629	19150	18957
927	21509	18982	19034
928	21481	18907	18814
929	21835	19390	18832
930	22878	20252	19873
931	24253	20896	21114
932	23894	20606	21540
933	23496	20362	20316
934	21967	19482	20118
935	20492	18242	18602
936	18452	16853	17002
937	17562	15877	15464
938	17072	15481	14901
939	16742	15282	15085
940	16959	15219	15083
941	17032	15444	15156
942	18079	16208	15669
943	20418	17688	16972
944	21555	19281	19168
945	22158	19678	20874
946	22338	19684	20075
947	22104	19707	19690
948	21831	19688	19730
949	21440	19557	19669
950	20956	19326	19426
951	20747	19240	19095
952	20813	19281	19154
